timestamp,time_sec,sensor,x,y,z
1780861914255,227.306,Accelerometer,-34.347,14.71905,4.011
1780861914995,228.046,Accelerometer,-8.311951,14.41005,-3.3739502
1780861915516,228.567,Accelerometer,-47.773052,13.503,11.280001
1780861916199,229.25,Accelerometer,-12.142951,15.466051,-3.0580502
1780861916736,229.787,Accelerometer,-58.899002,12.384001,13.548
1780861917425,230.476,Accelerometer,-10.704,14.28495,-3.9150002
1780861917956,231.007,Accelerometer,-51.345,14.175001,8.3209505
1780861918656,231.707,Accelerometer,-7.9960504,11.451,-6.0529504
1780861919196,232.247,Accelerometer,-57.85995,10.213051,15.805051
1780861919898,232.949,Accelerometer,-7.0669503,14.329051,-3.3019502
1780861920458,233.509,Accelerometer,-48.939003,9.95895,0.492
1780861921136,234.187,Accelerometer,-6.7770004,15.396001,-3.426
1780861921676,234.727,Accelerometer,-32.96505,14.149051,4.11705
1780861922437,235.488,Accelerometer,-10.575001,16.443,-3.6370502
1780861922956,236.007,Accelerometer,-37.639053,12.09,14.857051
1780861923744,236.795,Accelerometer,-5.0730004,14.2570505,-2.1690001
1780861924317,237.368,Accelerometer,-11.451,7.7590504,1.2220501
1780861925076,238.127,Accelerometer,-11.37195,10.797001,-0.48600003
1780861925576,238.627,Accelerometer,-18.067951,11.059951,-2.4379501
1780861926357,239.408,Accelerometer,-8.99895,10.996051,-5.1790504
1780861927820,240.871,Accelerometer,-8.623051,9.30795,-3.0859501
1780861928556,241.607,Accelerometer,-16.278,13.093051,1.12905
