timestamp,time_sec,sensor,x,y,z,time_to_prev_strike_sec
1780861833311,147.044,Accelerometer,-32.082,26.038952,17.851952,0.5840000000000032
1780861833904,147.637,Accelerometer,-21.918001,14.830951,-2.28795,0.5929999999999893
1780861834488,148.221,Accelerometer,-39.753002,26.946001,19.830002,0.5840000000000032
1780861835282,149.015,Accelerometer,-21.96795,7.7730002,4.032,0.7939999999999827
1780861835668,149.401,Accelerometer,-39.429,29.548952,10.119,0.3860000000000241
1780861836268,150.001,Accelerometer,-26.287052,11.94795,-3.0990002,0.5999999999999943
1780861836887,150.62,Accelerometer,-43.734,21.957,9.892051,0.6189999999999998
1780861837438,151.171,Accelerometer,-16.95405,12.763051,-2.496,0.5509999999999877
1780861838095,151.828,Accelerometer,-34.416,24.982952,18.043951,0.6570000000000107
1780861838877,152.61,Accelerometer,-13.543051,8.367001,-4.428,0.7820000000000107
1780861839249,152.982,Accelerometer,-35.922,21.28395,10.411051,0.3719999999999857
1780861839866,153.599,Accelerometer,-25.423052,12.66705,-1.03995,0.6169999999999902
1780861840468,154.201,Accelerometer,-32.11005,16.201052,11.788051,0.6020000000000039
1780861841247,154.98,Accelerometer,-15.04905,9.48495,-9.468,0.7789999999999964
1780861841647,155.38,Accelerometer,-35.20605,16.69605,12.994051,0.4000000000000057
1780861842258,155.991,Accelerometer,-19.665,13.054951,-1.6669501,0.6110000000000184
1780861842848,156.581,Accelerometer,-25.58595,15.492001,7.29405,0.589999999999975
1780861843448,157.181,Accelerometer,-25.392002,11.68305,-1.99995,0.6000000000000227
1780861844035,157.768,Accelerometer,-29.69205,13.27305,10.828051,0.5869999999999891
1780861844648,158.381,Accelerometer,-19.108952,11.343,-2.091,0.6129999999999995
1780861845208,158.941,Accelerometer,-28.062002,13.408951,5.41695,0.5600000000000023
1780861845837,159.57,Accelerometer,-19.035002,12.628051,0.82605004,0.6289999999999907
1780861846408,160.141,Accelerometer,-35.38095,10.80405,11.235001,0.570999999999998
1780861846988,160.721,Accelerometer,-24.058052,12.894001,0.06705,0.5800000000000125
1780861847669,161.402,Accelerometer,-24.022951,12.20505,4.8229504,0.6809999999999832
1780861848952,162.685,Accelerometer,-24.202051,10.9140005,2.568,1.2830000000000155
1780861849117,162.85,Accelerometer,-19.131,5.37405,-2.5870502,0.16499999999999204
1780861850233,163.966,Accelerometer,-19.98405,11.841001,2.3710501,1.1160000000000139
1780861850380,164.113,Accelerometer,-15.676051,4.4209504,2.39205,0.14699999999999136
1780861851475,165.208,Accelerometer,-21.892052,11.311951,2.01,1.0949999999999989
1780861851665,165.398,Accelerometer,-21.829052,3.38895,5.51205,0.18999999999999773
1780861852750,166.483,Accelerometer,-22.31595,11.19705,-3.5700002,1.085000000000008
1780861852908,166.641,Accelerometer,-18.834002,3.7770002,-7.62405,0.15799999999998704
1780861854049,167.782,Accelerometer,-16.333052,11.7310505,-5.85405,1.1410000000000196
1780861854189,167.922,Accelerometer,-18.915,6.1519504,-3.3340502,0.13999999999998636
1780861855396,169.129,Accelerometer,-20.97495,11.701951,-0.21300001,1.2069999999999936
1780861855490,169.223,Accelerometer,-16.047,5.07705,-0.33405003,0.09400000000002251
1780861856710,170.443,Accelerometer,-16.80195,10.953,-0.37905002,1.2199999999999989
1780861856849,170.582,Accelerometer,-13.69095,5.604,3.38595,0.13899999999998158
1780861858032,171.765,Accelerometer,-20.914951,14.512951,-4.16895,1.1829999999999927
1780861858173,171.906,Accelerometer,-15.870001,4.5600004,4.63605,0.14100000000001955
1780861859350,173.083,Accelerometer,-16.25595,14.716051,-3.0940502,1.1769999999999925
1780861859492,173.225,Accelerometer,-18.070051,6.01305,5.1120005,0.1419999999999959
1780861860710,174.443,Accelerometer,-18.202051,15.043951,-8.706,1.2180000000000177
1780861860814,174.547,Accelerometer,-12.420001,6.11595,-0.022950001,0.103999999999985
1780861861995,175.728,Accelerometer,-23.340002,16.198051,-12.474001,1.1810000000000116
1780861862154,175.887,Accelerometer,-16.123951,3.82905,-1.32,0.15899999999999181
1780861863291,177.024,Accelerometer,-24.46305,17.458052,-5.55495,1.1370000000000005
1780861863432,177.165,Accelerometer,-20.140951,5.7070503,2.62695,0.14099999999999113
1780861864590,178.323,Accelerometer,-19.716002,12.715051,-2.0020502,1.1580000000000155
1780861864711,178.444,Accelerometer,-13.897051,3.351,-4.6600504,0.1209999999999809
1780861865874,179.607,Accelerometer,-23.13495,16.026001,-8.133,1.163000000000011
1780861866039,179.772,Accelerometer,-22.021051,4.227,5.1070504,0.16499999999999204
1780861867096,180.829,Accelerometer,-13.68,12.93,-3.048,1.0570000000000164
1780861867864,181.597,Accelerometer,-16.219051,10.584001,6.28095,0.7680000000000007
1780861868331,182.064,Accelerometer,-18.78405,12.267,-3.2680502,0.46699999999998454
1780861869592,183.325,Accelerometer,-22.420952,20.37405,-5.23395,1.2609999999999957
1780861869761,183.494,Accelerometer,-19.617,4.7970004,1.65495,0.16900000000001114
1780861870912,184.645,Accelerometer,-37.098003,20.568,-2.87295,1.1510000000000105
1780861871402,185.135,Accelerometer,-13.734,12.95205,-1.557,0.4899999999999807
1780861872151,185.884,Accelerometer,-36.279003,15.23595,-5.493,0.7489999999999952
1780861872705,186.438,Accelerometer,-17.919,10.15305,-1.57395,0.554000000000002
1780861873406,187.139,Accelerometer,-26.671051,16.414051,-4.26,0.7010000000000218
1780861874694,188.427,Accelerometer,-28.159952,15.53295,-0.273,1.2879999999999825
1780861874822,188.555,Accelerometer,-13.353001,6.60195,-0.384,0.12800000000001432
1780861875995,189.728,Accelerometer,-19.086,13.918951,-4.28805,1.1730000000000018
1780861876124,189.857,Accelerometer,-16.38705,6.43695,4.4370003,0.12899999999999068
1780861877427,191.16,Accelerometer,-20.436,4.7299504,3.9460502,1.3029999999999973
1780861879334,193.067,Accelerometer,-18.46305,6.6570005,0.381,1.9070000000000107
1780861879899,193.632,Accelerometer,-24.022951,16.306051,-3.2350502,0.5649999999999977
1780861880418,194.151,Accelerometer,-21.597,11.482051,0.92700005,0.5190000000000055
1780861881212,194.945,Accelerometer,-16.87605,14.30895,-3.58905,0.7939999999999827
1780861882533,196.266,Accelerometer,-28.77,18.379951,-3.93195,1.320999999999998
1780861882668,196.401,Accelerometer,-20.15295,5.235,2.148,0.13500000000001933
1780861883793,197.526,Accelerometer,-23.074951,14.062951,-8.940001,1.125
1780861883998,197.731,Accelerometer,-15.099001,4.84695,2.94105,0.20499999999998408
1780861885119,198.852,Accelerometer,-17.30505,12.234,-3.0360003,1.1210000000000093
1780861885228,198.961,Accelerometer,-16.609951,5.3089504,-0.19995001,0.10900000000000887
1780861886577,200.31,Accelerometer,-16.69095,5.5290003,4.5019503,1.3489999999999895
1780861888540,202.273,Accelerometer,-11.397,10.347,-2.1649501,1.9629999999999939
1780861892918,206.651,Accelerometer,-27.793951,12.267,10.18395,4.378000000000014
1780861894254,207.987,Accelerometer,-21.85095,16.789951,0.94395006,1.3359999999999843
